time,theta
4.09,0.00277213,-0.00137738
4.095,0.00276525,-0.00137491
4.1,0.00275837,-0.00137244
4.105,0.00275151,-0.00136997
4.11,0.00274466,-0.0013675
4.115,0.00273782,-0.00136503
4.12,0.002731,-0.00136257
4.125,0.00272418,-0.00136011
4.13,0.00271738,-0.00135764
4.135,0.0027106,-0.00135518
4.14,0.00270382,-0.00135272
4.145,0.00269706,-0.00135026
4.15,0.00269031,-0.00134781
4.155,0.00268357,-0.00134535
4.16,0.00267684,-0.0013429
4.165,0.00267013,-0.00134045
4.17,0.00266342,-0.001338
4.175,0.00265673,-0.00133555
4.18,0.00265006,-0.0013331
4.185,0.00264339,-0.00133065
4.19,0.00263674,-0.00132821
4.195,0.0026301,-0.00132577
4.2,0.00262347,-0.00132333
4.205,0.00261685,-0.00132089
4.21,0.00261025,-0.00131845
4.215,0.00260365,-0.00131601
4.22,0.00259707,-0.00131358
4.225,0.00259051,-0.00131115
4.23,0.00258395,-0.00130872
4.235,0.00257741,-0.00130629
4.24,0.00257087,-0.00130386
4.245,0.00256436,-0.00130144
4.25,0.00255785,-0.00129901
4.255,0.00255135,-0.00129659
4.26,0.00254487,-0.00129417
4.265,0.0025384,-0.00129175
4.27,0.00253194,-0.00128933
4.275,0.00252549,-0.00128692
4.28,0.00251906,-0.00128451
4.285,0.00251264,-0.00128209
4.29,0.00250623,-0.00127968
4.295,0.00249983,-0.00127728
4.3,0.00249344,-0.00127487
4.305,0.00248707,-0.00127247
4.31,0.0024807,-0.00127006
4.315,0.00247435,-0.00126766
4.32,0.00246802,-0.00126527
4.325,0.00246169,-0.00126287
4.33,0.00245538,-0.00126047
4.335,0.00244907,-0.00125808
4.34,0.00244278,-0.00125569
4.345,0.0024365,-0.0012533
4.35,0.00243024,-0.00125091
4.355,0.00242398,-0.00124853
4.36,0.00241774,-0.00124615
4.365,0.00241151,-0.00124377
4.37,0.00240529,-0.00124139
4.375,0.00239908,-0.00123901
4.38,0.00239289,-0.00123663
4.385,0.00238671,-0.00123426
4.39,0.00238053,-0.00123189
4.395,0.00237437,-0.00122952
4.4,0.00236823,-0.00122715
4.405,0.00236209,-0.00122479
4.41,0.00235597,-0.00122243
4.415,0.00234986,-0.00122007
4.42,0.00234376,-0.00121771
4.425,0.00233767,-0.00121535
4.43,0.00233159,-0.001213
4.435,0.00232552,-0.00121064
4.44,0.00231947,-0.00120829
4.445,0.00231343,-0.00120594
4.45,0.0023074,-0.0012036
4.455,0.00230138,-0.00120125
4.46,0.00229538,-0.00119891
4.465,0.00228938,-0.00119657
4.47,0.0022834,-0.00119423
4.475,0.00227743,-0.0011919
4.48,0.00227147,-0.00118957
4.485,0.00226552,-0.00118723
4.49,0.00225958,-0.0011849
4.495,0.00225366,-0.00118258
4.5,0.00224775,-0.00118025
4.505,0.00224185,-0.00117793
4.51,0.00223596,-0.00117561
4.515,0.00223008,-0.00117329
4.52,0.00222421,-0.00117098
4.525,0.00221836,-0.00116866
4.53,0.00221251,-0.00116635
4.535,0.00220668,-0.00116404
4.54,0.00220086,-0.00116174
4.545,0.00219505,-0.00115943
4.55,0.00218926,-0.00115713
4.555,0.00218347,-0.00115483
4.56,0.0021777,-0.00115253
4.565,0.00217193,-0.00115024
4.57,0.00216618,-0.00114794
4.575,0.00216044,-0.00114565
4.58,0.00215471,-0.00114336
4.585,0.002149,-0.00114108
4.59,0.00214329,-0.00113879
4.595,0.0021376,-0.00113651
4.6,0.00213191,-0.00113423
4.605,0.00212624,-0.00113196
4.61,0.00212058,-0.00112968
4.615,0.00211494,-0.00112741
4.62,0.0021093,-0.00112514
4.625,0.00210367,-0.00112287
4.63,0.00209806,-0.00112061
4.635,0.00209246,-0.00111834
4.64,0.00208686,-0.00111608
4.645,0.00208128,-0.00111383
4.65,0.00207571,-0.00111157
4.655,0.00207016,-0.00110932
4.66,0.00206461,-0.00110707
4.665,0.00205907,-0.00110482
4.67,0.00205355,-0.00110257
4.675,0.00204804,-0.00110033
4.68,0.00204254,-0.00109809
4.685,0.00203705,-0.00109585
4.69,0.00203157,-0.00109361
4.695,0.0020261,-0.00109138
4.7,0.00202064,-0.00108915
4.705,0.0020152,-0.00108692
4.71,0.00200976,-0.00108469
4.715,0.00200434,-0.00108247
4.72,0.00199892,-0.00108025
4.725,0.00199352,-0.00107803
4.73,0.00198813,-0.00107581
4.735,0.00198275,-0.0010736
4.74,0.00197739,-0.00107139
4.745,0.00197203,-0.00106918
4.75,0.00196668,-0.00106697
4.755,0.00196135,-0.00106477
4.76,0.00195602,-0.00106257
4.765,0.00195071,-0.00106037
4.77,0.00194541,-0.00105817
4.775,0.00194012,-0.00105598
4.78,0.00193484,-0.00105379
4.785,0.00192957,-0.0010516
4.79,0.00192431,-0.00104941
4.795,0.00191907,-0.00104723
4.8,0.00191383,-0.00104505
4.805,0.0019086,-0.00104287
4.81,0.00190339,-0.00104069
4.815,0.00189819,-0.00103852
4.82,0.00189299,-0.00103635
4.825,0.00188781,-0.00103418
4.83,0.00188264,-0.00103202
4.835,0.00187748,-0.00102985
4.84,0.00187233,-0.00102769
4.845,0.00186719,-0.00102554
4.85,0.00186207,-0.00102338
4.855,0.00185695,-0.00102123
4.86,0.00185184,-0.00101908
4.865,0.00184675,-0.00101693
4.87,0.00184166,-0.00101479
4.875,0.00183659,-0.00101264
4.88,0.00183153,-0.00101051
4.885,0.00182647,-0.00100837
4.89,0.00182143,-0.00100623
4.895,0.0018164,-0.0010041
4.9,0.00181138,-0.00100197
4.905,0.00180637,-0.000999848
4.91,0.00180137,-0.000997724
4.915,0.00179638,-0.000995603
4.92,0.0017914,-0.000993485
4.925,0.00178644,-0.000991369
4.93,0.00178148,-0.000989257
4.935,0.00177653,-0.000987146
4.94,0.0017716,-0.000985039
4.945,0.00176667,-0.000982934
4.95,0.00176176,-0.000980832
4.955,0.00175685,-0.000978732
4.96,0.00175196,-0.000976635
4.965,0.00174708,-0.000974541
4.97,0.0017422,-0.000972449
4.975,0.00173734,-0.000970361
4.98,0.00173249,-0.000968275
4.985,0.00172765,-0.000966191
4.99,0.00172282,-0.00096411
4.995,0.001718,-0.000962032
