time,theta
0.82,0.00917658,-0.00173267
0.825,0.00916792,-0.00173864
0.83,0.00915923,-0.00174457
0.835,0.0091505,-0.00175046
0.84,0.00914175,-0.0017563
0.845,0.00913297,-0.0017621
0.85,0.00912416,-0.00176785
0.855,0.00911532,-0.00177356
0.86,0.00910645,-0.00177923
0.865,0.00909756,-0.00178486
0.87,0.00908863,-0.00179045
0.875,0.00907968,-0.00179599
0.88,0.0090707,-0.00180149
0.885,0.00906169,-0.00180695
0.89,0.00905266,-0.00181236
0.895,0.0090436,-0.00181774
0.9,0.00903451,-0.00182307
0.905,0.00902539,-0.00182836
0.91,0.00901625,-0.00183362
0.915,0.00900708,-0.00183883
0.92,0.00899789,-0.001844
0.925,0.00898867,-0.00184913
0.93,0.00897942,-0.00185422
0.935,0.00897015,-0.00185926
0.94,0.00896085,-0.00186427
0.945,0.00895153,-0.00186924
0.95,0.00894219,-0.00187417
0.955,0.00893282,-0.00187906
0.96,0.00892342,-0.00188391
0.965,0.008914,-0.00188872
0.97,0.00890456,-0.00189349
0.975,0.00889509,-0.00189822
0.98,0.0088856,-0.00190292
0.985,0.00887608,-0.00190757
0.99,0.00886655,-0.00191219
0.995,0.00885699,-0.00191677
1,0.0088474,-0.00192131
1.005,0.0088378,-0.00192581
1.01,0.00882817,-0.00193027
1.015,0.00881852,-0.0019347
1.02,0.00880884,-0.00193909
1.025,0.00879915,-0.00194344
1.03,0.00878943,-0.00194775
1.035,0.00877969,-0.00195203
1.04,0.00876993,-0.00195627
1.045,0.00876015,-0.00196047
1.05,0.00875035,-0.00196464
1.055,0.00874052,-0.00196877
1.06,0.00873068,-0.00197286
1.065,0.00872082,-0.00197692
1.07,0.00871093,-0.00198094
1.075,0.00870103,-0.00198493
1.08,0.0086911,-0.00198888
1.085,0.00868116,-0.00199279
1.09,0.00867119,-0.00199667
1.095,0.00866121,-0.00200051
1.1,0.00865121,-0.00200432
1.105,0.00864119,-0.00200809
1.11,0.00863114,-0.00201183
1.115,0.00862109,-0.00201554
1.12,0.00861101,-0.0020192
1.125,0.00860091,-0.00202284
1.13,0.0085908,-0.00202644
1.135,0.00858067,-0.00203
1.14,0.00857052,-0.00203354
1.145,0.00856035,-0.00203703
1.15,0.00855016,-0.0020405
1.155,0.00853996,-0.00204393
1.16,0.00852974,-0.00204733
1.165,0.0085195,-0.00205069
1.17,0.00850925,-0.00205402
1.175,0.00849898,-0.00205732
1.18,0.00848869,-0.00206058
1.185,0.00847839,-0.00206381
1.19,0.00846807,-0.00206701
1.195,0.00845774,-0.00207018
1.2,0.00844739,-0.00207331
1.205,0.00843702,-0.00207642
1.21,0.00842664,-0.00207949
1.215,0.00841624,-0.00208252
1.22,0.00840583,-0.00208553
1.225,0.0083954,-0.0020885
1.23,0.00838496,-0.00209145
1.235,0.0083745,-0.00209436
1.24,0.00836403,-0.00209724
1.245,0.00835354,-0.00210009
1.25,0.00834304,-0.00210291
1.255,0.00833253,-0.00210569
1.26,0.008322,-0.00210845
1.265,0.00831146,-0.00211118
1.27,0.0083009,-0.00211387
1.275,0.00829033,-0.00211654
1.28,0.00827975,-0.00211917
1.285,0.00826915,-0.00212178
1.29,0.00825854,-0.00212435
1.295,0.00824792,-0.0021269
1.3,0.00823729,-0.00212941
1.305,0.00822664,-0.0021319
1.31,0.00821598,-0.00213435
1.315,0.00820531,-0.00213678
1.32,0.00819462,-0.00213918
1.325,0.00818393,-0.00214155
1.33,0.00817322,-0.00214389
1.335,0.0081625,-0.0021462
1.34,0.00815177,-0.00214848
1.345,0.00814103,-0.00215073
1.35,0.00813027,-0.00215296
1.355,0.00811951,-0.00215516
1.36,0.00810873,-0.00215733
1.365,0.00809795,-0.00215947
1.37,0.00808715,-0.00216158
1.375,0.00807634,-0.00216366
1.38,0.00806552,-0.00216572
1.385,0.0080547,-0.00216775
1.39,0.00804386,-0.00216975
1.395,0.00803301,-0.00217173
1.4,0.00802215,-0.00217368
1.405,0.00801128,-0.0021756
1.41,0.0080004,-0.00217749
1.415,0.00798952,-0.00217936
1.42,0.00797862,-0.0021812
1.425,0.00796771,-0.00218301
1.43,0.0079568,-0.0021848
1.435,0.00794587,-0.00218656
1.44,0.00793494,-0.00218829
1.445,0.007924,-0.00219
1.45,0.00791305,-0.00219168
1.455,0.00790209,-0.00219334
1.46,0.00789112,-0.00219497
1.465,0.00788015,-0.00219658
1.47,0.00786917,-0.00219815
1.475,0.00785818,-0.00219971
1.48,0.00784718,-0.00220124
1.485,0.00783617,-0.00220274
1.49,0.00782516,-0.00220422
1.495,0.00781414,-0.00220567
1.5,0.00780311,-0.0022071
1.505,0.00779207,-0.0022085
1.51,0.00778103,-0.00220988
1.515,0.00776998,-0.00221124
1.52,0.00775892,-0.00221257
1.525,0.00774786,-0.00221387
1.53,0.00773679,-0.00221515
1.535,0.00772572,-0.00221641
1.54,0.00771463,-0.00221764
